"GeneID","Female1","Female2","Female3","Female4","Labium1","Labium2","Labium3","Labium4","Male1","Male2","Male3","Male4"
"gene15646",27.1163372305036,0,37.2421984769812,0,35.7000371078056,67.0423543479022,66.2973177744158,56.9528193046802,0,0,0,0
"gene15649",0,0.419670428773348,0,0,0,0,0,0,0,0,0,0
"gene15650",0,0,0,0,0,0,0,0,0,0,0,0
"gene15651",314.068452167326,236.62564004272,341.721260314448,327.993492119853,310.906252001625,328.936226458347,327.705908964385,314.60534549696,0,0,367.184463537187,541.611524223466
"gene15652",0,0,0,45.0036770198438,4.42942719981649,0.717153109079793,0,0,0,0,0,0
"gene15653",71.2617342417636,0,0.269336287776861,0,64.4883029617296,61.8248643890681,48.5143370104417,65.6164193884823,0,0,0,9.49467017752782
"gene15654",192.423937109963,178.949096670811,93.9857128022045,147.451971859151,110.482569869708,93.0659834697262,98.3308057029187,85.4192295521873,0,0.453859479020627,77.7254687343499,105.393973904582
"gene15655",215.53884719209,237.31940260124,292.683586387101,274.738657097186,164.285175717578,138.011062078885,135.874240752348,126.952306907726,0,0,155.854161350084,0
"gene15656",15.1290083804773,15.0304346775817,57.0469882451352,20.5107008933767,21.3434423578074,38.3863541352543,30.6009470798549,35.5572884079474,3.07926315561556,2.31364696361471,13.6191554397213,7.5718001479333
"gene15657",0,0,0,0,2.53416925856168,5.84675371111598,14.6614377193943,4.87227565753438,0,0,0,0
"gene15659",353.988521721876,366.512825113885,386.060371264753,278.730304812384,235.405170515519,242.851391905411,232.218021473436,223.251536455697,0,424.29176536412,162.314209204579,145.555501884333
"gene15660",1.20654788134203,0.743416188112788,0.704549527390899,0.837343722538878,8.98775307475991,17.1934612056209,10.3486676236184,17.5147164159733,1.31995574951034,3.96706803884695,1.22190318553867,2.25789559200084
"gene15662",0,0.235116565517599,0,0,0,0,0,0.633062039131564,0,0,0,0
"gene15663",97.7670639661774,82.278088927618,0,0,328.604211169912,326.40711507546,331.547463090962,329.415298615096,0,0,213.255130286919,15.4467519385193
"gene15666",0,0,0,0,5.41941438502893,0,0.988306543002611,0,0,0,0,0
"gene15667",0,0,0,0,0,0,1.44176483920381,0,0,0,0,0
"Or52",0.675466675277379,17.4799694941923,0,0,0,0,0.609846027957061,0,0,0,0,0
"gene15670",0,0,0,0,18.1783448234893,29.0239568195351,31.5490318429908,15.4701265864227,0,0,0,0
"gene15671",36.8382172282087,107.399913133741,45.5146489902259,0,53.0292141317668,32.8093308910453,59.0152182231545,54.3142535665554,0,0,0,12.4004106316004
"gene15672",177.047786936058,123.633344327453,114.412716730653,309.962802334609,147.17069917734,134.03190715659,142.797404508968,121.895899031665,353.805530249185,805.271691581162,175.316544012071,368.871421171443
"gene15673",123.778885326963,0,127.196352177178,124.52497359471,95.1121561647671,96.7132192816176,103.292152408673,81.2289654189781,0,17.0017201664869,26.1836396901144,109.467616647898
"gene15674",17.3394766424677,6.35249591075416,11.6302796522141,13.2694716671636,33.9425568078005,36.1034859895312,31.521494900028,44.8018239271721,0,86.6726101273978,17.7183495214979,0
"gene15675",94.008412662868,76.1279191926099,32.9370680119491,75.6804866964644,43.7099423793434,49.9371702032734,47.2878488957235,45.3959169297399,0,20.9742952407235,206.730475348381,150.16401911995
"gene15679",0,0,0,0,0,0,3.59100033206343,0,0,0,0,0
"gene15682",108.170807765081,100.945020097933,69.7817575100383,107.9603482264,20.9798698434589,37.5122390669101,41.5201434554656,43.2365905242482,39.4259034081492,57.6107590196426,5.5977240175201,20.5840874323114
